Symbol;Side;Price;Share;GrossPL;State;Gateway;Time;GatewayFee;Destination;RegFee;Date;ClearingFee;ActivityFee;;;;;;;;;
LNKD.NY;Buy;137.15;100;0.00;Partially Filled;EDGA;10:33:40.837;-0.02;ROUD;0.00;20160609;0.0169;0.00;;;;;;;;;
EVHC.NY;Buy;28.005;100;-1.00;Filled;EDGX;10:32:34.851;0.29;ROUT;0.00;20160609;0.0169;0.00;;;;;;;;;
EVHC.NY;Buy;28.005;300;-3.00;Partially Filled;EDGX;10:32:34.851;0.87;ROUT;0.00;20160609;0.0507;0.00;;;;;;;;;
EVHC.NY;ShortSell;27.995;400;0.00;Filled;EDGX;10:32:31.708;1.16;ROUT;0.24412;20160609;0.0676;0.0552;;;;;;;;;
RH.NY;Sell;28.66;200;-10.00;Filled;EDGX;10:25:43.453;0.58;ROUT;0.12496;20160609;0.0338;0.0276;;;;;;;;;
RH.NY;Sell;28.66;100;-5.00;Partially Filled;EDGX;10:25:43.453;0.29;ROUT;0.06248;20160609;0.0169;0.0138;;;;;;;;;
RH.NY;Sell;28.66;100;-5.00;Partially Filled;EDGX;10:25:43.453;0.29;ROUT;0.06248;20160609;0.0169;0.0138;;;;;;;;;
RH.NY;Buy;28.71;7;0.00;Filled;EDGA;10:25:11.467;0.0035;ROUT;0.00;20160609;0.00118;0.00;;;;;;;;;
RH.NY;Buy;28.71;393;0.00;Partially Filled;EDGA;10:25:11.467;0.1965;ROUT;0.00;20160609;0.06642;0.00;;;;;;;;;
LNKD.NY;Sell;137.57;100;46.00;Filled;EDGX;10:21:54.260;0.29;ROUT;0.2999;20160609;0.0169;0.0138;;;;;;;;;
LNKD.NY;Buy;137.11;100;0.00;Partially Filled;EDGA;10:14:50.960;-0.02;ROUD;0.00;20160609;0.0169;0.00;;;;;;;;;
ABBV.NY;Buy;61.33;100;-4.00;Filled;EDGX;10:12:19.426;0.29;ROUT;0.00;20160609;0.0169;0.00;;;;;;;;;
ABBV.NY;Buy;61.29;200;0.00;Partially Filled;EDGX;10:12:19.381;0.58;ROUT;0.00;20160609;0.0338;0.00;;;;;;;;;
ABBV.NY;Buy;61.29;100;0.00;Partially Filled;EDGX;10:12:19.381;0.29;ROUT;0.00;20160609;0.0169;0.00;;;;;;;;;
ABBV.NY;ShortSell;61.29;300;0.00;Filled;EDGA;10:11:45.069;0.15;ROUT;0.40084;20160609;0.0507;0.0414;;;;;;;;;
ABBV.NY;ShortSell;61.29;100;0.00;Partially Filled;EDGA;10:11:43.891;0.25;ROUT;0.13361;20160609;0.0169;0.0138;;;;;;;;;
LNKD.NY;Buy;136.96;100;-7.00;Filled;EDGX;10:06:21.499;0.30;ROUT;0.00;20160609;0.0169;0.00;;;;;;;;;
LNKD.NY;Buy;136.94;100;17.00;Partially Filled;EDGX;10:06:21.451;0.29;ROUT;0.00;20160609;0.0169;0.00;;;;;;;;;
LNKD.NY;ShortSell;136.89;100;0.00;Filled;EDGA;10:06:06.918;-0.02;ROUD;0.29842;20160609;0.0169;0.0138;;;;;;;;;
LNKD.NY;ShortSell;137.11;100;0.00;Filled;EDGA;10:02:35.657;-0.02;ROUD;0.2989;20160609;0.0169;0.0138;;;;;;;;;
LNKD.NY;Sell;137.39;10;-3.20;Filled;EDGX;09:46:31.836;0.029;ROUT;0.02995;20160609;0.00169;0.00138;;;;;;;;;
LNKD.NY;Buy;137.71;10;0.00;Filled;EDGA;09:46:15.603;-0.002;ROUD;0.00;20160609;0.00169;0.00;;;;;;;;;
LNKD.NY;Sell;138.26;100;-32.00;Filled;EDGX;09:41:38.446;0.30;ROUT;0.30141;20160609;0.0169;0.0138;;;;;;;;;
LNKD.NY;Buy;138.58;100;0.00;Filled;EDGA;09:41:20.252;-0.02;ROUD;0.00;20160609;0.0169;0.00;;;;;;;;;
LNKD.NY;Sell;138.08;100;-13.00;Filled;EDGX;09:39:41.109;0.30;ROUT;0.30101;20160609;0.0169;0.0138;;;;;;;;;
LNKD.NY;Buy;138.21;100;0.00;Filled;EDGA;09:39:33.434;-0.02;ROUD;0.00;20160609;0.0169;0.00;;;;;;;;;
